lat,lon
41.704683,-8.79842
41.7046705,-8.7984098
41.704658,-8.7983995
41.7046455,-8.7983892
41.704633,-8.798379
41.7046205,-8.7983687
41.704608,-8.7983585
41.7045955,-8.7983483
41.704583,-8.798338
41.70457,-8.7983298
41.704557,-8.7983215
41.704544,-8.7983132
41.704531,-8.798305
41.704518,-8.7982967
41.704505,-8.7982885
41.704492,-8.7982803
41.704479,-8.798272
41.7044656,-8.7982621
41.7044523,-8.7982523
41.7044389,-8.7982424
41.7044255,-8.7982325
41.7044121,-8.7982226
41.7043987,-8.7982128
41.7043854,-8.7982029
41.704372,-8.798193
41.7043581,-8.7981833
41.7043443,-8.7981735
41.7043304,-8.7981638
41.7043165,-8.798154
41.7043026,-8.7981442
41.7042888,-8.7981345
41.7042749,-8.7981247
41.704261,-8.798115
41.7042486,-8.7981048
41.7042363,-8.7980945
41.7042239,-8.7980842
41.7042115,-8.798074
41.7041991,-8.7980638
41.7041867,-8.7980535
41.7041744,-8.7980432
41.704162,-8.798033
41.7041519,-8.7980266
41.7041417,-8.7980203
41.7041316,-8.7980139
41.7041215,-8.7980075
41.7041114,-8.7980011
41.7041013,-8.7979948
41.7040911,-8.7979884
41.704081,-8.797982
41.7040712,-8.7979745
41.7040615,-8.797967
41.7040518,-8.7979595
41.704042,-8.797952
41.7040322,-8.7979445
41.7040225,-8.797937
41.7040128,-8.7979295
41.704003,-8.797922
41.703994,-8.7979155
41.703985,-8.797909
41.703976,-8.7979025
41.703967,-8.797896
41.703958,-8.7978895
41.703949,-8.797883
41.70394,-8.7978765
41.703931,-8.79787
41.7039235,-8.7978635
41.703916,-8.797857
41.7039085,-8.7978505
41.703901,-8.797844
41.7038935,-8.7978375
41.703886,-8.797831
41.7038785,-8.7978245
41.703871,-8.797818
41.7038626,-8.7978125
41.7038542,-8.797807
41.7038459,-8.7978015
41.7038375,-8.797796
41.7038291,-8.7977905
41.7038207,-8.797785
41.7038124,-8.7977795
41.703804,-8.797774
41.7037961,-8.7977675
41.7037883,-8.797761
41.7037804,-8.7977545
41.7037725,-8.797748
41.7037646,-8.7977415
41.7037567,-8.797735
41.7037489,-8.7977285
41.703741,-8.797722
41.7037321,-8.7977158
41.7037232,-8.7977095
41.7037144,-8.7977032
41.7037055,-8.797697
41.7036966,-8.7976907
41.7036878,-8.7976845
41.7036789,-8.7976783
41.70367,-8.797672
41.7036621,-8.7976661
41.7036542,-8.7976602
41.7036464,-8.7976544
41.7036385,-8.7976485
41.7036306,-8.7976426
41.7036227,-8.7976368
41.7036149,-8.7976309
41.703607,-8.797625
41.7035996,-8.7976189
41.7035922,-8.7976127
41.7035849,-8.7976066
41.7035775,-8.7976005
41.7035701,-8.7975944
41.7035627,-8.7975883
41.7035554,-8.7975821
41.703548,-8.797576
41.7035404,-8.7975704
41.7035328,-8.7975647
41.7035251,-8.7975591
41.7035175,-8.7975535
41.7035099,-8.7975479
41.7035022,-8.7975422
41.7034946,-8.7975366
41.703487,-8.797531
41.7034809,-8.7975252
41.7034747,-8.7975195
41.7034686,-8.7975138
41.7034625,-8.797508
41.7034564,-8.7975023
41.7034503,-8.7974965
41.7034441,-8.7974908
41.703438,-8.797485
41.7034294,-8.7974779
41.7034207,-8.7974707
41.7034121,-8.7974636
41.7034035,-8.7974565
41.7033949,-8.7974494
41.7033863,-8.7974422
41.7033776,-8.7974351
41.703369,-8.797428
41.7033621,-8.7974219
41.7033553,-8.7974157
41.7033484,-8.7974096
41.7033415,-8.7974035
41.7033346,-8.7973974
41.7033277,-8.7973913
41.7033209,-8.7973851
41.703314,-8.797379
41.7033071,-8.7973737
41.7033002,-8.7973685
41.7032934,-8.7973633
41.7032865,-8.797358
41.7032796,-8.7973527
41.7032728,-8.7973475
41.7032659,-8.7973422
41.703259,-8.797337
41.7032509,-8.7973296
41.7032428,-8.7973223
41.7032346,-8.7973149
41.7032265,-8.7973075
