lat,lon
41.704033,-8.798741
41.704038,-8.798658
41.704044,-8.798615
41.704046,-8.798573
41.704046,-8.798538
41.704044,-8.798504
41.704043,-8.798477
41.704040,-8.798451
41.704037,-8.798416
41.704033,-8.798390
41.704030,-8.798363
41.704025,-8.798341
41.704020,-8.798316
41.704015,-8.798292
41.704011,-8.798274
41.704003,-8.798251
41.703996,-8.798224
41.703987,-8.798202
41.703979,-8.798176
41.703971,-8.798151
41.703964,-8.798128
41.703954,-8.798106
41.703948,-8.798088
41.703933,-8.798063
41.703921,-8.798035
41.703906,-8.798014
41.703895,-8.797999
41.703879,-8.797976
41.703869,-8.797963
41.703856,-8.797942
41.703846,-8.797927
41.703835,-8.797913
41.703825,-8.797898
41.703816,-8.797885
41.703805,-8.797871
41.703793,-8.797854
41.703780,-8.797838
41.703769,-8.797823
41.703756,-8.797809
41.703743,-8.797797
41.703730,-8.797785
41.703723,-8.797776
41.703714,-8.797769
41.703703,-8.797758
41.703694,-8.797751
41.703684,-8.797740
41.703672,-8.797729
41.703663,-8.797720
41.703653,-8.797714
41.703643,-8.797706
41.703634,-8.797699
41.703621,-8.797686
41.703610,-8.797679
41.703601,-8.797669
41.703587,-8.797658
41.703577,-8.797650
41.703566,-8.797643
41.703556,-8.797634
41.703543,-8.797624
41.703529,-8.797613
41.703521,-8.797606
41.703515,-8.797599
41.703502,-8.797588
41.703487,-8.797578
41.703474,-8.797569
41.703456,-8.797550


























